1211.620285 1211.620285 0.000000 0.000000 1211.620285 
vehicle, 1, 173.076390, 173.076390, 0.000000, 0.000000
customer,distance,freight_1M1_0,arrival,service,departure,timecost,travelcost,
0,,-0.000000,,,0.000000,,0.000000,
1,49.497475,0.000000,49.497475,49.497475,49.497475,0.000000,0.000000,
10,81.513096,16.000000,81.513096,97.000000,107.000000,0.000000,0.000000,
21,92.693436,9.000000,118.180340,126.000000,136.000000,0.000000,0.000000,
2,109.185858,10.000000,152.492423,161.000000,171.000000,0.000000,0.000000,
0,173.076390,35.000000,234.890531,234.890531,,0.000000,,
vehicle, 2, 36.055513, 36.055513, 0.000000, 0.000000
customer,distance,freight_1M1_0,arrival,service,departure,timecost,travelcost,
0,,-0.000000,,,0.000000,,0.000000,
15,18.027756,20.000000,18.027756,32.000000,42.000000,0.000000,0.000000,
0,36.055513,20.000000,60.027756,60.027756,,0.000000,,
vehicle, 3, 117.873959, 117.873959, 0.000000, 0.000000
customer,distance,freight_1M1_0,arrival,service,departure,timecost,travelcost,
0,,-0.000000,,,0.000000,,0.000000,
3,38.910153,7.000000,38.910153,50.000000,60.000000,0.000000,0.000000,
22,49.350459,11.000000,70.440307,70.440307,80.440307,0.000000,0.000000,
5,59.350459,19.000000,90.440307,149.000000,159.000000,0.000000,0.000000,
0,117.873959,37.000000,217.523500,217.523500,,0.000000,,
vehicle, 4, 67.082039, 67.082039, 0.000000, 0.000000
customer,distance,freight_1M1_0,arrival,service,departure,timecost,travelcost,
0,,-0.000000,,,0.000000,,0.000000,
6,33.541020,26.000000,33.541020,34.000000,44.000000,0.000000,0.000000,
0,67.082039,26.000000,77.541020,77.541020,,0.000000,,
vehicle, 5, 60.827625, 60.827625, 0.000000, 0.000000
customer,distance,freight_1M1_0,arrival,service,departure,timecost,travelcost,
0,,-0.000000,,,0.000000,,0.000000,
18,30.413813,2.000000,30.413813,157.000000,167.000000,0.000000,0.000000,
0,60.827625,2.000000,197.413813,197.413813,,0.000000,,
vehicle, 6, 164.129669, 164.129669, 0.000000, 0.000000
customer,distance,freight_1M1_0,arrival,service,departure,timecost,travelcost,
0,,-0.000000,,,0.000000,,0.000000,
12,68.007353,12.000000,68.007353,68.007353,78.007353,0.000000,0.000000,
20,75.078420,17.000000,85.078420,85.078420,95.078420,0.000000,0.000000,
11,90.078420,16.000000,110.078420,124.000000,134.000000,0.000000,0.000000,
14,125.078420,23.000000,169.000000,169.000000,179.000000,0.000000,0.000000,
0,164.129669,68.000000,218.051248,218.051248,,0.000000,,
vehicle, 7, 169.362606, 169.362606, 0.000000, 0.000000
customer,distance,freight_1M1_0,arrival,service,departure,timecost,travelcost,
0,,-0.000000,,,0.000000,,0.000000,
13,61.032778,19.000000,61.032778,63.000000,73.000000,0.000000,0.000000,
4,72.213118,13.000000,84.180340,116.000000,126.000000,0.000000,0.000000,
25,86.355254,3.000000,140.142136,153.000000,163.000000,0.000000,0.000000,
26,101.355254,6.000000,178.000000,178.000000,188.000000,0.000000,0.000000,
0,169.362606,41.000000,256.007353,256.007353,,0.000000,,
vehicle, 8, 112.504867, 112.504867, 0.000000, 0.000000
customer,distance,freight_1M1_0,arrival,service,departure,timecost,travelcost,
0,,-0.000000,,,0.000000,,0.000000,
24,55.226805,29.000000,55.226805,68.000000,78.000000,0.000000,0.000000,
23,66.407145,18.000000,89.180340,97.000000,107.000000,0.000000,0.000000,
0,112.504867,47.000000,153.097722,153.097722,,0.000000,,
vehicle, 9, 44.721360, 44.721360, 0.000000, 0.000000
customer,distance,freight_1M1_0,arrival,service,departure,timecost,travelcost,
0,,-0.000000,,,0.000000,,0.000000,
17,22.360680,19.000000,22.360680,75.000000,85.000000,0.000000,0.000000,
0,44.721360,19.000000,107.360680,107.360680,,0.000000,,
vehicle, 10, 110.205684, 110.205684, 0.000000, 0.000000
customer,distance,freight_1M1_0,arrival,service,departure,timecost,travelcost,
0,,-0.000000,,,0.000000,,0.000000,
8,53.851648,5.000000,53.851648,81.000000,91.000000,0.000000,0.000000,
9,66.058204,9.000000,103.206556,103.206556,113.206556,0.000000,0.000000,
0,110.205684,14.000000,157.354036,157.354036,,0.000000,,
vehicle, 11, 60.827625, 60.827625, 0.000000, 0.000000
customer,distance,freight_1M1_0,arrival,service,departure,timecost,travelcost,
0,,-0.000000,,,0.000000,,0.000000,
16,30.413813,8.000000,30.413813,61.000000,71.000000,0.000000,0.000000,
0,60.827625,8.000000,101.413813,101.413813,,0.000000,,
vehicle, 12, 94.952948, 94.952948, 0.000000, 0.000000
customer,distance,freight_1M1_0,arrival,service,departure,timecost,travelcost,
0,,-0.000000,,,0.000000,,0.000000,
19,44.721360,12.000000,44.721360,87.000000,97.000000,0.000000,0.000000,
7,55.901699,3.000000,108.180340,108.180340,118.180340,0.000000,0.000000,
0,94.952948,15.000000,157.231588,157.231588,,0.000000,,
